Experiment;Condition;Run;Sequence;Total;Application
exp1c;experimental;12;0;9105;6759
exp1c;experimental;12;2;9382;7036
exp1c;experimental;12;8;11275;8852
exp1c;control-customactionselection;18;0;8850;6509
exp1c;control-customactionselection;18;9;11368;8950
exp1c;control-customactionselection;18;7;11252;8834
exp1c;control-customactionselection;18;6;10625;8207
exp1c;control-customactionselection;18;2;9957;7539
exp1c;control-customactionselection;18;5;10625;8207
exp1c;control-customactionselection;18;1;9957;7539
exp1c;control-customactionselection;18;8;11320;8902
exp1c;control-customactionselection;18;4;10625;8207
exp1c;control-customactionselection;18;3;10106;7688
exp1c;control-customactionselection;29;2;10912;8494
exp1c;control-customactionselection;29;5;11965;9539
exp1c;control-customactionselection;29;1;10775;8357
exp1c;control-customactionselection;29;6;11965;9539
exp1c;control-customactionselection;29;7;12522;9780
exp1c;control-customactionselection;29;4;11792;9366
exp1c;control-customactionselection;29;3;10912;8494
exp1c;control-customactionselection;29;8;12528;9786
exp1c;control-customactionselection;29;0;10277;7859
exp1c;control-customactionselection;29;9;12528;9786
exp1c;experimental;52;0;9752;7321
exp1c;experimental;52;8;12154;9407
exp1c;experimental;52;7;11812;9065
exp1c;experimental;52;5;11646;8899
exp1c;experimental;52;3;10769;8338
exp1c;experimental;11;5;12334;9537
exp1c;experimental;11;6;12345;9548
exp1c;experimental;11;4;12334;9537
exp1c;experimental;11;1;10131;7713
exp1c;experimental;11;7;12389;9592
exp1c;experimental;11;8;12389;9592
exp1c;experimental;11;2;11161;8427
exp1c;experimental;11;9;12391;9594
exp1c;experimental;11;0;10009;7592
exp1c;control-customactionselection;35;7;11159;8741
exp1c;control-customactionselection;35;4;10647;8229
exp1c;control-customactionselection;35;1;10067;7649
exp1c;control-customactionselection;35;9;11314;8896
