Experiment;Condition;Run;Sequence;Result
exp1c;plain;29;2;0
exp1c;plain;29;3;0
exp1c;plain;29;4;0
exp1c;plain;29;5;0
exp1c;plain;29;6;0
exp1c;plain;29;7;0
exp1c;plain;29;8;0
exp1c;plain;29;9;0
exp1c;plain;29;10;0
exp1c;experimental;22;1;0
exp1c;experimental;22;2;0
exp1c;experimental;22;3;0
exp1c;experimental;22;4;1
exp1c;experimental;22;5;0
exp1c;experimental;22;6;1
exp1c;experimental;22;7;1
exp1c;experimental;22;8;0
exp1c;experimental;22;9;0
exp1c;experimental;22;10;1
exp1c;control-defaultactionselection;31;1;0
exp1c;control-defaultactionselection;31;2;0
exp1c;control-defaultactionselection;31;3;0
exp1c;control-defaultactionselection;31;4;0
exp1c;control-defaultactionselection;31;5;0
exp1c;control-defaultactionselection;31;6;0
exp1c;control-defaultactionselection;31;7;0
exp1c;control-defaultactionselection;31;8;0
exp1c;control-defaultactionselection;31;9;0
exp1c;control-defaultactionselection;31;10;0
exp1c;plain;27;1;0
exp1c;plain;27;2;0
exp1c;plain;27;3;0
exp1c;plain;27;4;0
exp1c;plain;27;5;1
exp1c;plain;27;6;0
exp1c;plain;27;7;0
exp1c;plain;27;8;0
exp1c;plain;27;9;0
exp1c;plain;27;10;0
exp1c;control-customactionselection;26;1;0
exp1c;control-customactionselection;26;2;0
exp1c;control-customactionselection;26;3;0
exp1c;control-customactionselection;26;4;0
exp1c;control-customactionselection;26;5;0
exp1c;control-customactionselection;26;6;0
exp1c;control-customactionselection;26;7;0
exp1c;control-customactionselection;26;8;0
exp1c;control-customactionselection;26;9;0
exp1c;control-customactionselection;26;10;0
exp1c;plain;14;1;0
exp1c;plain;14;2;0
exp1c;plain;14;3;0
exp1c;plain;14;4;0
exp1c;plain;14;5;0
exp1c;plain;14;6;0
exp1c;plain;14;7;0
exp1c;plain;14;8;0
exp1c;plain;14;9;0
exp1c;plain;14;10;0
exp1c;control-defaultactionselection;27;1;0
exp1c;control-defaultactionselection;27;2;0
exp1c;control-defaultactionselection;27;3;0
exp1c;control-defaultactionselection;27;4;0
exp1c;control-defaultactionselection;27;5;0
exp1c;control-defaultactionselection;27;6;0
exp1c;control-defaultactionselection;27;7;0
exp1c;control-defaultactionselection;27;8;0
exp1c;control-defaultactionselection;27;9;0
exp1c;control-defaultactionselection;27;10;0
exp1c;plain;15;1;0
exp1c;plain;15;2;0
exp1c;plain;15;3;1
exp1c;plain;15;4;0
exp1c;plain;15;5;1
exp1c;plain;15;6;0
exp1c;plain;15;7;0
exp1c;plain;15;8;0
exp1c;plain;15;9;0
exp1c;plain;15;10;0
exp1c;plain;9;1;0
exp1c;plain;9;2;0
exp1c;plain;9;3;0
