Experiment;Condition;Run;Sequence;Total;Application
exp1i;control-customactionselection;18;9;14517;10404
exp1i;control-customactionselection;18;7;14362;10257
exp1i;control-customactionselection;18;8;14362;10257
exp1i;control-customactionselection;18;3;13617;9525
exp1i;control-defaultactionselection;23;9;15442;11267
exp1i;control-defaultactionselection;23;2;13032;8927
exp1i;control-defaultactionselection;23;1;10150;6153
exp1i;control-defaultactionselection;23;0;8813;4828
exp1i;control-defaultactionselection;23;3;14820;10652
exp1i;control-defaultactionselection;23;5;15330;11155
exp1i;control-defaultactionselection;23;4;15245;11070
exp1i;control-defaultactionselection;23;7;15330;11155
exp1i;control-defaultactionselection;23;6;15330;11155
exp1i;control-defaultactionselection;23;8;15442;11267
exp1i;control-defaultactionselection;31;3;14581;10434
exp1i;control-defaultactionselection;31;4;14583;10436
exp1i;control-defaultactionselection;31;9;15900;11731
exp1i;control-defaultactionselection;31;0;11473;7369
exp1i;control-defaultactionselection;31;7;15677;11508
exp1i;control-defaultactionselection;31;2;14263;10146
